year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
1981,Freda,198101,1,1981031200,1,6.0,168.0,1004,12,,False
1981,Freda,198101,2,1981031206,1,6.6,167.4,1004,15,,False
1981,Freda,198101,3,1981031212,1,7.0,166.8,1000,15,,False
1981,Freda,198101,4,1981031218,2,7.5,166.0,994,20,,False
1981,Freda,198101,5,1981031300,2,8.2,165.2,992,20,,False
1981,Freda,198101,6,1981031306,2,9.0,164.3,992,20,,False
1981,Freda,198101,7,1981031312,2,9.9,163.4,990,20,,False
1981,Freda,198101,8,1981031318,3,10.6,162.6,987,25,,False
1981,Freda,198101,9,1981031400,3,11.5,162.0,980,30,,False
1981,Freda,198101,10,1981031406,3,12.7,161.3,979,30,,False
1981,Freda,198101,11,1981031412,3,14.2,161.1,975,30,,False
1981,Freda,198101,12,1981031418,4,14.6,161.6,970,35,,False
1981,Freda,198101,13,1981031500,4,15.5,161.9,960,40,,False
1981,Freda,198101,14,1981031506,5,16.9,162.9,947,50,,False
1981,Freda,198101,15,1981031512,5,18.1,163.9,945,50,,False
1981,Freda,198101,16,1981031518,5,19.1,165.0,944,50,,False
1981,Freda,198101,17,1981031600,5,20.0,166.0,945,50,,False
1981,Freda,198101,18,1981031606,5,21.0,167.2,950,45,,False
1981,Freda,198101,19,1981031612,5,21.9,168.3,955,45,,False
1981,Freda,198101,20,1981031618,4,23.0,169.4,960,40,,False
1981,Freda,198101,21,1981031700,4,24.0,170.5,966,35,,False
1981,Freda,198101,22,1981031706,3,25.2,171.7,975,30,,False
1981,Freda,198101,23,1981031712,3,27.1,173.3,982,25,,False
1981,Freda,198101,24,1981031718,3,28.0,174.6,980,25,,False
1981,Freda,198101,25,1981031800,3,29.0,176.0,985,25,,False
1981,Freda,198101,26,1981031806,2,31.6,181.0,990,20,,False
1981,Gerald,198102,1,1981041406,0,4.3,157.5,1005,10,,False
1981,Gerald,198102,2,1981041412,0,4.7,156.7,1005,10,,False
1981,Gerald,198102,3,1981041418,0,5.1,155.8,1005,10,,False
1981,Gerald,198102,4,1981041500,0,5.3,155.0,1005,10,,False
1981,Gerald,198102,5,1981041506,0,5.5,154.1,1003,10,,False
1981,Gerald,198102,6,1981041512,1,5.7,153.0,1000,12,,False
1981,Gerald,198102,7,1981041518,1,6.0,152.0,998,15,,False
1981,Gerald,198102,8,1981041600,2,6.3,151.3,996,20,,False
1981,Gerald,198102,9,1981041606,3,7.0,149.7,990,25,,False
1981,Gerald,198102,10,1981041612,3,7.8,148.0,988,25,,False
1981,Gerald,198102,11,1981041618,3,8.3,146.6,982,30,,False
1981,Gerald,198102,12,1981041700,3,9.0,146.0,985,30,,False
1981,Gerald,198102,13,1981041706,3,10.1,145.9,989,25,,False
1981,Gerald,198102,14,1981041712,3,11.1,145.9,990,25,,False
1981,Gerald,198102,15,1981041718,3,11.6,145.6,990,25,,False
1981,Gerald,198102,16,1981041800,2,12.2,145.7,990,20,,False
1981,Gerald,198102,17,1981041806,2,12.8,146.0,991,20,,False
1981,Gerald,198102,18,1981041812,2,13.2,146.2,991,20,,False
1981,Gerald,198102,19,1981041818,2,14.0,146.8,992,20,,False
1981,Gerald,198102,20,1981041900,2,14.7,147.0,992,20,,False
1981,Gerald,198102,21,1981041906,2,15.3,147.3,993,20,,False
1981,Gerald,198102,22,1981041912,1,16.2,148.1,995,15,,False
1981,Gerald,198102,23,1981041918,1,17.7,150.5,995,15,,False
1981,Gerald,198102,24,1981042000,1,17.8,151.5,1000,12,,False
1981,Gerald,198102,25,1981042006,1,17.9,152.1,1002,12,,False
1981,Gerald(-)1,198102,1,1981042000,2,15.4,145.9,992,20,,False
1981,Gerald(-)1,198102,2,1981042006,2,15.7,145.5,994,20,,False
1981,Gerald(-)1,198102,3,1981042012,1,16.2,145.2,998,15,,False
1981,Gerald(-)1,198102,4,1981042018,1,17.0,145.0,1000,12,,False
1981,Gerald(-)1,198102,5,1981042100,1,17.6,145.1,1004,12,,False
1981,Gerald(-)1,198102,6,1981042106,1,18.2,145.2,1004,12,,False
1981,Gerald(-)1,198102,7,1981042112,1,18.9,145.4,1004,12,,False
1981,Gerald(-)1,198102,8,1981042118,0,19.6,145.7,1006,10,,False
1981,Gerald(-)1,198102,9,1981042200,0,20.2,146.0,1008,9,,False
1981,Gerald(-)1,198102,10,1981042206,0,21.0,146.5,1008,9,,False
