year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
2004,(nameless),200401,1,2004021112,0,9.8,145.0,1004,10,,True
2004,(nameless),200401,2,2004021118,0,10.6,143.8,1004,10,,True
2004,(nameless),200401,3,2004021200,0,11.5,142.5,1004,10,,True
2004,(nameless),200401,4,2004021206,1,11.9,141.6,1002,15,,True
2004,(nameless),200401,5,2004021212,1,12.1,140.2,1002,15,,True
2004,(nameless),200401,6,2004021218,1,12.2,138.5,1002,15,,True
2004,(nameless),200401,7,2004021300,1,12.4,137.4,1002,15,,True
2004,(nameless),200401,8,2004021306,1,12.8,136.8,1002,15,,True
2004,(nameless),200401,9,2004021312,1,13.4,136.0,1002,15,,True
2004,(nameless),200401,10,2004021318,1,13.9,135.4,1000,15,,True
2004,(nameless),200401,11,2004021400,1,14.3,135.3,1000,15,,True
2004,(nameless),200401,12,2004021406,1,14.5,135.4,1000,15,,True
2004,(nameless),200401,13,2004021412,1,14.7,135.5,1002,15,,True
2004,(nameless),200401,14,2004021418,1,14.8,135.8,1002,15,,True
2004,(nameless),200401,15,2004021500,1,14.7,136.5,1002,15,,True
2004,(nameless),200401,16,2004021506,1,14.7,136.8,1002,15,,True
2004,(nameless),200401,17,2004021512,1,14.3,137.0,1002,15,,True
2004,(nameless),200401,18,2004021518,1,14.0,136.6,1002,15,,True
2004,(nameless),200401,19,2004021600,1,13.0,136.0,1002,15,,True
2004,(nameless),200401,20,2004021606,1,11.8,135.5,1002,15,,True
2004,(nameless),200401,21,2004021612,1,10.0,135.0,1002,15,,True
2004,(nameless),200402,1,2004031600,0,6.5,138.0,1004,10,,False
2004,(nameless),200402,2,2004031606,0,6.2,137.4,1004,10,,False
2004,(nameless),200402,3,2004031612,1,5.9,136.7,1002,12,,False
2004,(nameless),200402,4,2004031618,1,5.7,136.0,1000,15,,False
2004,(nameless),200402,5,2004031700,1,6.0,135.0,1000,15,,False
2004,(nameless),200402,6,2004031706,1,6.3,134.0,1000,15,,False
2004,(nameless),200402,7,2004031712,1,6.5,133.7,1000,15,,False
2004,(nameless),200402,8,2004031718,1,6.7,133.0,1000,15,,False
2004,(nameless),200402,9,2004031800,1,7.5,131.7,1000,15,,False
2004,(nameless),200402,10,2004031806,1,8.7,130.5,1000,15,,False
2004,(nameless),200402,11,2004031812,1,9.7,129.4,1000,15,,False
2004,(nameless),200402,12,2004031818,1,10.2,128.8,1000,15,,False
2004,(nameless),200402,13,2004031900,1,10.8,128.1,1000,15,,False
2004,(nameless),200402,14,2004031906,1,11.4,127.6,998,15,,False
2004,(nameless),200402,15,2004031912,1,11.8,127.1,998,15,,False
2004,(nameless),200402,16,2004031918,1,12.5,126.5,998,15,,False
2004,(nameless),200402,17,2004032000,1,13.3,125.8,998,15,,False
2004,(nameless),200402,18,2004032006,1,13.8,125.3,998,15,,False
2004,(nameless),200402,19,2004032012,1,14.2,124.9,1000,15,,False
2004,(nameless),200402,20,2004032018,1,14.7,124.5,1000,15,,False
2004,(nameless),200402,21,2004032100,1,15.3,124.3,1000,15,,False
2004,(nameless),200402,22,2004032106,1,15.6,124.1,1000,15,,False
2004,(nameless),200402,23,2004032112,1,16.0,124.3,1000,15,,False
2004,(nameless),200402,24,2004032118,1,16.5,124.5,1000,15,,False
2004,(nameless),200402,25,2004032200,1,16.7,124.6,1002,12,,False
2004,(nameless),200402,26,2004032206,1,16.9,124.7,1002,12,,False
2004,Sudal,200403,1,2004040218,0,6.4,152.8,1004,10,,False
2004,Sudal,200403,2,2004040300,0,6.3,152.3,1004,10,,False
2004,Sudal,200403,3,2004040306,1,6.4,151.9,1004,12,,False
2004,Sudal,200403,4,2004040312,1,6.6,151.4,1004,12,,False
2004,Sudal,200403,5,2004040318,1,6.5,151.0,1002,12,,False
2004,Sudal,200403,6,2004040400,1,6.5,150.6,1002,15,,False
2004,Sudal,200403,7,2004040406,1,6.7,150.1,1000,15,,False
2004,Sudal,200403,8,2004040412,1,7.1,149.6,1000,15,,False
2004,Sudal,200403,9,2004040418,1,7.8,149.3,1000,15,,False
2004,Sudal,200403,10,2004040500,2,8.4,149.1,998,18,,False
2004,Sudal,200403,11,2004040506,2,8.8,148.8,995,20,,False
2004,Sudal,200403,12,2004040512,2,9.3,148.6,995,20,,False
2004,Sudal,200403,13,2004040518,2,9.5,147.7,990,23,,False
2004,Sudal,200403,14,2004040600,3,9.3,147.0,990,25,,False
2004,Sudal,200403,15,2004040606,3,9.2,146.2,990,25,,False
2004,Sudal,200403,16,2004040612,3,9.5,145.4,985,28,,False
2004,Sudal,200403,17,2004040618,3,9.9,144.9,980,30,,False
2004,Sudal,200403,18,2004040700,3,10.0,144.1,980,30,,False
2004,Sudal,200403,19,2004040706,3,9.9,143.0,980,30,,False
2004,Sudal,200403,20,2004040712,3,9.7,142.2,980,30,,False
2004,Sudal,200403,21,2004040718,4,9.3,141.5,975,33,,False
2004,Sudal,200403,22,2004040800,4,9.1,140.6,970,35,,False
2004,Sudal,200403,23,2004040806,4,8.8,139.8,960,40,,False
2004,Sudal,200403,24,2004040812,4,8.8,139.1,960,40,,False
2004,Sudal,200403,25,2004040818,4,8.9,138.5,960,40,,False
2004,Sudal,200403,26,2004040900,5,9.1,138.0,950,45,,False
2004,Sudal,200403,27,2004040906,5,9.5,137.2,950,45,,False
2004,Sudal,200403,28,2004040912,5,9.9,136.6,945,50,,False
2004,Sudal,200403,29,2004040918,5,10.3,135.8,940,50,,False
2004,Sudal,200403,30,2004041000,5,10.8,135.2,940,50,,False
2004,Sudal,200403,31,2004041006,5,11.3,134.4,940,50,,False
2004,Sudal,200403,32,2004041012,5,11.9,133.5,940,50,,False
2004,Sudal,200403,33,2004041018,5,12.4,132.8,945,50,,False
2004,Sudal,200403,34,2004041100,5,13.1,132.1,950,45,,False
2004,Sudal,200403,35,2004041106,5,13.6,131.7,950,45,,False
2004,Sudal,200403,36,2004041112,5,14.2,131.4,950,45,,False
2004,Sudal,200403,37,2004041118,5,14.8,131.2,950,45,,False
2004,Sudal,200403,38,2004041200,5,15.4,131.0,950,45,,False
2004,Sudal,200403,39,2004041206,5,15.7,131.0,950,45,,False
2004,Sudal,200403,40,2004041212,5,16.1,131.1,950,45,,False
2004,Sudal,200403,41,2004041218,5,16.6,131.3,950,45,,False
2004,Sudal,200403,42,2004041300,5,17.2,131.6,950,45,,False
2004,Sudal,200403,43,2004041306,5,17.8,132.0,950,45,,False
2004,Sudal,200403,44,2004041312,5,18.6,132.5,950,45,,False
2004,Sudal,200403,45,2004041318,5,19.5,133.1,950,45,,False
