id,date,I,name,seq,LAT,LON,Pressure,WND,OWD,replaceName
200900,2009-01-01 00:00:00,0,First,0,0,0,0,0,,False
200901,2009-05-01 12:00:00,1,Kujira,1,12.8,124.0,1006,13,,False
200901,2009-05-02 18:00:00,2,Kujira,6,13.6,124.5,1000,18,,False
200901,2009-05-03 12:00:00,3,Kujira,9,14.5,125.7,990,25,,False
200901,2009-05-04 06:00:00,4,Kujira,12,16.4,128.4,975,33,,False
200901,2009-05-04 18:00:00,5,Kujira,14,17.1,131.1,950,45,,False
200901,2009-05-05 00:00:00,4,Kujira,15,17.6,132.7,960,40,,False
200901,2009-05-07 00:00:00,3,Kujira,23,26.0,143.8,985,28,,False
200901,2009-05-07 06:00:00,2,Kujira,24,28.2,145.1,990,23,,False
200901,2009-05-07 12:00:00,2,Kujira,25,30.2,147.3,995,18,,False
200901,2009-05-08 00:00:00,0,Kujira,27,34.4,150.9,1000,18,,False
200902,2009-05-02 18:00:00,0,Chan-hom,1,9.6,111.0,1006,10,,False
200902,2009-05-03 00:00:00,1,Chan-hom,2,9.7,111.3,1004,13,,False
200902,2009-05-03 12:00:00,2,Chan-hom,4,9.9,111.7,998,18,,False
200902,2009-05-04 18:00:00,3,Chan-hom,9,11.4,112.0,990,25,,False
200902,2009-05-06 18:00:00,4,Chan-hom,17,14.8,116.0,975,33,,False
200902,2009-05-07 12:00:00,3,Chan-hom,20,16.5,120.2,975,30,,False
200902,2009-05-08 06:00:00,2,Chan-hom,23,17.3,124.5,990,23,,False
200902,2009-05-09 00:00:00,1,Chan-hom,26,17.2,127.5,1000,15,,False
200902,2009-05-11 12:00:00,0,Chan-hom,36,22.3,127.1,1006,10,,False
200902,2009-05-13 00:00:00,0,Chan-hom,42,25.7,128.7,1008,10,,False
200903,2009-06-17 06:00:00,1,Linfa,1,17.4,116.7,1002,13,,False
200903,2009-06-18 00:00:00,2,Linfa,4,17.9,116.1,1000,18,,False
200903,2009-06-19 12:00:00,3,Linfa,10,19.1,117.3,990,25,,False
200903,2009-06-21 18:00:00,2,Linfa,19,25.1,118.8,990,23,,False
200903,2009-06-22 12:00:00,1,Linfa,22,28.3,121.4,998,13,,False
200903,2009-06-23 06:00:00,1,Linfa,25,30.1,125.4,1000,15,,False
200903,2009-06-25 00:00:00,0,Linfa,32,40.1,152.3,1002,13,,False
200904,2009-06-22 12:00:00,1,Nangka,1,10.9,129.2,1002,13,,False
200904,2009-06-23 06:00:00,2,Nangka,4,12.0,125.6,995,18,,False
200904,2009-06-26 18:00:00,1,Nangka,18,22.8,114.5,995,16,,False
200904,2009-06-27 00:00:00,0,Nangka,19,23.3,114.4,1000,10,,False
200905,2009-07-09 18:00:00,1,Soudelor,1,18.6,122.0,1002,13,,False
200905,2009-07-11 00:00:00,2,Soudelor,6,19.7,115.5,995,18,,False
200905,2009-07-12 12:00:00,1,Soudelor,12,21.2,106.5,998,15,,False
200905,2009-07-12 18:00:00,0,Soudelor,13,20.8,105.0,1000,13,,False
200906,2009-07-11 18:00:00,0,(nameless),1,18.4,127.5,1002,10,,False
200906,2009-07-12 12:00:00,1,(nameless),4,20.8,124.5,1002,12,,False
200906,2009-07-13 00:00:00,2,(nameless),6,22.2,122.4,998,18,,False
200906,2009-07-14 00:00:00,0,(nameless),10,25.9,118.7,1000,15,,False
200907,2009-07-15 00:00:00,1,Molave,1,14.1,128.6,1004,15,,False
200907,2009-07-16 06:00:00,2,Molave,6,16.6,125.1,998,18,,False
200907,2009-07-17 06:00:00,3,Molave,10,19.5,122.6,990,25,,False
200907,2009-07-17 18:00:00,4,Molave,12,21.0,119.6,975,33,,False
200907,2009-07-19 00:00:00,2,Molave,17,22.9,112.9,987,20,,False
200907,2009-07-19 12:00:00,0,Molave,19,23.8,109.6,996,13,,False
200908,2009-07-31 12:00:00,1,Goni,1,15.7,129.8,994,15,,True
